,target,alt_tar_lst,phon,sem
1951,campaigns,damnation,5.0,0.7961436657701818
1952,inference,inference,0.0,1.1102230246251565e-16
1953,inference,inferno,3.0,0.6752825508033311
1954,inference,peasantry,9.0,0.6639493259222617
1955,inference,inferences,1.0,0.6752825508033311
1956,inferno,inferno,0.0,0.0
1957,inferno,inference,3.0,0.6752825508033311
1958,inferno,peasantry,8.0,0.8192140358933779
1959,inferno,inferences,4.0,0.33872704805965875
1960,peasantry,peasantry,0.0,0.0
1961,peasantry,inference,9.0,0.6639493259222617
1962,peasantry,inferno,8.0,0.8192140358933779
1963,peasantry,inferences,9.0,0.8342168071470349
1964,inferences,inferences,0.0,0.0
1965,inferences,inference,1.0,0.6752825508033311
1966,inferences,inferno,4.0,0.33872704805965875
1967,inferences,peasantry,9.0,0.8342168071470349
1968,inferno,inferno,0.0,0.0
1969,inferno,inference,3.0,0.6752825508033311
1970,inferno,attitude,8.0,0.7904276391955483
1971,inferno,infernos,1.0,0.28793420850604623
1972,inference,inference,0.0,1.1102230246251565e-16
1973,inference,inferno,3.0,0.6752825508033311
1974,inference,attitude,8.0,0.665874649694154
1975,inference,infernos,3.0,0.6752825508033311
1976,attitude,attitude,0.0,0.0
1977,attitude,inferno,8.0,0.7904276391955483
1978,attitude,inference,8.0,0.665874649694154
1979,attitude,infernos,8.0,0.7904276391955483
1980,infernos,infernos,0.0,7.401486830834377e-17
1981,infernos,inferno,1.0,0.28793420850604623
1982,infernos,inference,3.0,0.6752825508033311
1983,infernos,attitude,8.0,0.7904276391955483
1984,consciousness,consciousness,0.0,0.0
1985,consciousness,conscience,6.0,0.5141308176089814
1986,consciousness,duration,10.0,0.7365578177436449
1987,consciousness,consciousnesses,2.0,0.0
1988,conscience,conscience,0.0,0.0
1989,conscience,consciousness,6.0,0.5141308176089814
1990,conscience,duration,8.0,0.7699482620564619
1991,conscience,consciousnesses,7.0,0.5141308176089814
1992,duration,duration,0.0,0.0
1993,duration,consciousness,10.0,0.7365578177436449
1994,duration,conscience,8.0,0.7699482620564619
1995,duration,consciousnesses,12.0,0.7365578177436449
1996,consciousnesses,consciousnesses,0.0,5.551115123125783e-17
1997,consciousnesses,consciousness,2.0,0.0
1998,consciousnesses,conscience,7.0,0.5141308176089814
1999,consciousnesses,duration,12.0,0.7365578177436449
2000,conscience,conscience,0.0,0.0
2001,conscience,consciousness,6.0,0.5141308176089814
2002,conscience,musket,8.0,0.7322857983449521
2003,conscience,consciences,1.0,0.6595358073202702
2004,consciousness,consciousness,0.0,0.0
2005,consciousness,conscience,6.0,0.5141308176089814
2006,consciousness,musket,10.0,0.755455214118556
2007,consciousness,consciences,5.0,0.7417426945913501
2008,musket,musket,0.0,0.0
2009,musket,conscience,8.0,0.7322857983449521
2010,musket,consciousness,10.0,0.755455214118556
2011,musket,consciences,9.0,0.7653514418631602
2012,consciences,consciences,0.0,1.4802973661668753e-16
2013,consciences,conscience,1.0,0.6595358073202702
2014,consciences,consciousness,5.0,0.7417426945913501
2015,consciences,musket,9.0,0.7653514418631602
2016,consternation,consternation,0.0,1.1102230246251565e-16
2017,consternation,constellation,2.0,0.5967902627746732
2018,consternation,inflection,7.0,0.7534339026512356
2019,consternation,consternations,1.0,0.09283103652838731
2020,constellation,constellation,0.0,0.0
2021,constellation,consternation,2.0,0.5967902627746732
2022,constellation,inflection,7.0,0.7751087732990642
2023,constellation,consternations,3.0,0.5967902627746732
2024,inflection,inflection,0.0,0.0
2025,inflection,consternation,7.0,0.7534339026512356
2026,inflection,constellation,7.0,0.7751087732990642
2027,inflection,consternations,8.0,0.7534339026512356
2028,consternations,consternations,0.0,1.4802973661668753e-16
2029,consternations,consternation,1.0,0.09283103652838731
2030,consternations,constellation,3.0,0.5967902627746732
2031,consternations,inflection,8.0,0.7534339026512356
2032,constellation,constellation,0.0,0.0
2033,constellation,consternation,2.0,0.5967902627746732
2034,constellation,immunity,12.0,0.781134097305204
2035,constellation,constellations,1.0,0.5967902627746732
2036,consternation,consternation,0.0,1.1102230246251565e-16
2037,consternation,constellation,2.0,0.5967902627746732
